Periode;Tahun;Bulan;LP_Padi;Prod_Padi;Prod_beras;Kebutuhan_Beras;LP_Padi(1)
1;2018;1;5,42;2783961,0;1597158,4;2.476.982,00;541537,00
2;2018;2;10,11;5738544,0;3292202,7;2.237.274,00;1010771,00
3;2018;3;17,73;9678183,0;5552373,6;2.476.982,00;1773346,00
4;2018;4;14,10;7603155,0;4361930,0;2.397.079,00;1410144,00
5;2018;5;9,98;4901169,0;2811800,7;2.481.776,00;998295,00
6;2018;6;8,88;4490438,0;2576164,3;2.508.943,00;888380,00
7;2018;7;10,74;5434002,0;3117486,9;2.476.982,00;1074362,00
8;2018;8;10,87;5372660,0;3082295,0;2.478.980,00;1087223,00
9;2018;9;10,10;5184049,0;2974088,9;2.397.079,00;1010455,00
10;2018;10;6,31;3324970,0;1907535,3;2.476.982,00;630728,00
11;2018;11;5,23;2799881,0;1606291,7;2.397.079,00;522896,00
12;2018;12;3,66;1889522,0;1084018,8;2.479.379,00;365926,00
13;2019;1;4,15;2037525,0;1168928,1;2.453.055,00;414630,00
14;2019;2;7,32;3631559,0;2083425,4;2.215.663,00;732372,00
15;2019;3;17,18;9168951,0;5260227,2;2.453.055,00;1718388,00
16;2019;4;16,85;8937444,0;5127411,6;2.373.925,00;1684544,00
17;2019;5;9,16;4367308,0;2505524,6;2.457.803,00;916201,00
18;2019;6;8,82;4312981,0;2474357,2;2.484.708,00;882210,00
19;2019;7;9,54;4640762,0;2662405,2;2.453.055,00;953919,00
20;2019;8;11,82;5603865,0;3214937,4;2.455.034,00;1182332,00
21;2019;9;7,98;4234769,0;2429487,0;2.373.925,00;797833,00
22;2019;10;6,03;3311329,0;1899709,4;2.453.055,00;602555,00
23;2019;11;4,73;2652863,0;1521947,5;2.373.925,00;472845,00
24;2019;12;3,20;1704677,0;977973,2;2.455.429,00;320059,00
25;2020;1;7,16;3599710,0;2065153,6;2.472.328,00;715742,00
26;2020;2;11,96;6098197,0;3498535,6;2.233.071,00;1195943,00
27;2020;3;29,12;15644284,0;8975125,7;2.472.328,00;2912012,00
28;2020;4;32,50;17161776,0;9845710,9;2.397.361,00;3250103,00
29;2020;5;20,54;9996501,0;5734992,6;2.583.982,00;2053918,00
30;2020;6;15,09;7429259,0;4262165,9;2.392.576,00;1508582,00
31;2020;7;19,45;9866855,0;5660614,7;2.474.322,00;1944659,00
32;2020;8;20,32;9846611,0;5649000,7;2.472.328,00;2032086,00
33;2020;9;18,17;9557358,0;5483056,3;2.392.576,00;1817099,00
34;2020;10;14,78;7983351,0;4580048,5;2.472.328,00;1477574,00
35;2020;11;10,60;5884000,0;3375650,8;2.392.576,00;1060333,00
36;2020;12;6,40;3504533,0;2010550,6;2.474.721,00;640215,00
37;2021;1;4,13;2083252,0;1195161,7;2.573.373,00;413085,00
38;2021;2;7,73;4056991,0;2327495,7;2.324.337,00;772897,00
39;2021;3;17,85;9671598,0;5548595,8;2.573.373,00;1785269,00
40;2021;4;14,61;7771058,0;4458256,0;2.495.342,00;1460711,00
41;2021;5;7,84;3949995,0;2266112,1;2.689.590,00;784039,00
42;2021;6;7,97;4035004,0;2314881,8;2.490.361,00;797480,00
